DateTime,Entries,UniqueIPs
1527940814,179999,179999
1527940814,179999,179999
1527940814,179999,179999
1527940814,179999,179999
1527940814,179999,179999
1527940814,179999,179999
1527940814,179999,179999
1527940814,179999,179999
1527940814,179999,179999
1528027215,179468,179468
1528113615,179010,179010
1528200015,178744,178744
1528286415,176277,176277
1528286415,176277,176277
1528286415,176277,176277
1528286415,176277,176277
1528286415,176277,176277
1528286415,176277,176277
1528372815,174567,174567
1528459215,173632,173632
1528545615,173452,173452
1528632015,172567,172567
1528718416,171370,171370
1528804815,171284,171284
1528891215,171232,171232
1528977615,170837,170837
1529064015,170578,170578
1529150415,169358,169358
1529236816,168906,168906
1529323215,168071,168071
1529409615,167240,167240
1529496016,167073,167073
1529582414,166131,166131
1529668814,165756,165756
1529755217,165649,165649
1529841615,165305,165305
1529928015,164687,164687
1530014415,164791,164791
1530100815,164354,164354
1530187215,164047,164047
1530273615,164122,164122
1530360015,163901,163901
1530446416,163671,163671
1530532815,163550,163550
1530619215,163767,163767
1530705614,163919,163919
1530792016,164246,164246
1530878416,164253,164253
1530964816,164720,164720
1531051215,164776,164776
1531137616,164466,164466
1531224016,164444,164444
1531310417,165170,165170
1531396817,163773,163773
1531483215,163713,163713
1531569615,164492,164492
1531656017,164488,164488
1531742415,164082,164082
1531828816,164517,164517
1531915216,166743,166743
1532001616,167857,167857
1532088016,169251,169251
1532174417,169546,169546
1532260815,169135,169135
1532347216,169209,169209
1532433615,169538,169538
1532520015,169340,169340
1532606416,169836,169836
1532692815,170564,170564
1532779216,171460,171460
1532865616,171597,171597
1532952016,171524,171524
1533038416,171965,171965
1533124815,172820,172820
1533211216,173542,173542
1533297615,173836,173836
1533384015,174132,174132
1533470415,174367,174367
1533556816,174169,174169
1533643216,174137,174137
1533729615,174628,174628
1533816016,174581,174581
1533902415,175352,175352
1533988814,175719,175719
1534075214,175269,175269
1534161615,175506,175506
1534248015,175253,175253
1534334415,175520,175520
1534420815,173200,173200
1534507215,167590,167590
1534593615,166316,166316
1534680015,162695,162695
1534766416,162964,162964
1534852815,163217,163217
1534939215,163498,163498
1535025615,163612,163612
1535112015,164616,164616
1535198415,165461,165461
1535284815,165441,165441
1535371216,165580,165580
1535457616,165537,165537
1535544016,165412,165412
1535630416,166237,166237
1535716816,167137,167137
1535803215,168290,168290
1535889615,168949,168949
1535976016,169936,169936
1536062415,171100,171100
1536148814,172415,172415
1536235215,173434,173434
1536321615,174005,174005
1536408015,174802,174802
1536494416,175318,175318
1536580814,174957,174957
1536667215,175803,175803
1536753615,176354,176354
1536840016,176875,176875
1536926416,177819,177819
1537012816,179197,179197
1537099215,179963,179963
1537185615,181071,181071
1537272016,181621,181621
1537358415,182955,182955
1537444816,184113,184113
1537531216,185437,185437
1537617616,186328,186328
1537704015,186617,186617
1537790415,186769,186769
1537876817,187739,187739
1537963216,188739,188739
1538049615,188917,188917
1538136016,189672,189672
1538222416,189856,189856
1538308817,190164,190164
1538395217,190646,190646
1538481615,191925,191925
1538568016,192158,192158
1538654417,192679,192679
1538740815,193388,193388
1538827216,194994,194994
1538913615,195137,195137
1539000017,195058,195058
1539086416,195069,195069
1539172816,195146,195146
1539259215,195913,195913
1539345617,196782,196782
1539432017,197495,197495
1539518416,197358,197358
1539604815,197408,197408
1539691216,196435,196435
1539777617,195612,195612
1539864016,194681,194681
1539950415,194446,194446
1540036815,194713,194713
1540123216,194907,194907
1540209615,195008,195008
1540296016,195944,195944
1540382416,196337,196337
1540468816,196739,196739
1540555216,197401,197401
1540641615,197591,197591
1540728015,197449,197449
1540814415,196877,196877
1540900816,195911,195911
1540987215,195685,195685
1541073616,195503,195503
1541160016,195393,195393
1541246417,195391,195391
1541332815,195206,195206
1541419217,195656,195656
1541505616,195770,195770
1541592015,195869,195869
1541678418,196854,196854
1541764816,197539,197539
1541851217,197842,197842
1541937615,197680,197680
1542024016,197834,197834
1542110415,198535,198535
1542196815,199296,199296
1542283215,199961,199961
1542369615,200111,200111
1542456015,200352,200352
1542542416,199460,199460
1542628816,199749,199749
1542715216,200682,200682
1542801616,201267,201267
1542888017,201240,201240
1542974415,201210,201210
1543060816,201821,201821
1543147216,201994,201994
1543233616,202211,202211
1543320017,202941,202941
1543406414,203118,203118
1543492816,203225,203225
1543579215,203349,203349
1543665616,203810,203810
1543752017,203835,203835
1543838415,203559,203559
1543924816,202882,202882
1544011216,202954,202954
1544097616,203153,203153
1544184018,203350,203350
1544270415,203177,203177
1544356816,202403,202403
1544443216,201652,201652
1544529617,201219,201219
1544616015,200982,200982
1544702415,200925,200925
1544788816,200622,200622
1544875215,200631,200631
1544961616,199936,199936
1545048016,200602,200602
1545134416,200463,200463
1545220816,200229,200229
1545307216,199632,199632
1545393615,199318,199318
1545480015,199324,199324
1545566415,199095,199095
1545652816,198159,198159
1545739215,196943,196943
1545825616,196577,196577
1545912015,196673,196673
1545998416,197195,197195
1546084817,197742,197742
1546214416,197018,197018
1546300815,196983,196983
1546387216,196904,196904
1546473616,197292,197292
1546560016,196351,196351
1546646416,196282,196282
1546732816,197101,197101
