DateTime,Entries,UniqueIPs
1537961799,14806,14806
1537983874,14567,14567
1538006201,16369,16369
1538028274,16691,16691
1538050126,16831,16831
1538072201,16812,16812
1538094271,16716,16716
1538116493,21605,21605
1538138422,21676,21676
1538160528,21527,21527
1538182595,23972,23972
1538204666,24932,24932
1538226747,24972,24972
1538249065,25030,25030
1538271141,25327,25327
1538293244,25432,25432
1538315293,25612,25612
1538337154,25788,25788
1538370283,25943,25943
1538392128,26375,26375
1538414203,26783,26783
1538436276,26873,26873
1538458361,26943,26943
1538480522,26967,26967
1538502752,27529,27529
1538524603,27544,27544
1538546677,27536,27536
1538568743,26880,26880
1538590598,26871,26871
1538612441,26841,26841
1538634494,26831,26831
1538656594,26821,26821
1538678686,26863,26863
1538700728,26868,26868
1538722572,22728,22728
1538744484,22754,22754
1538766509,22779,22779
1538788589,21225,21225
1538810665,20994,20994
1538832994,20277,20277
1538855062,19519,19519
1538877161,19277,19277
1538899261,19011,19011
1538921300,19342,19342
1538943387,19557,19557
1538965454,19560,19560
1538987536,19235,19235
1539009634,18095,18095
1539031952,18018,18018
1539054076,15753,15753
1539076122,15684,15684
1539098216,15583,15583
1539120249,15504,15504
1539142107,15468,15468
1539163957,15442,15442
1539186018,14730,14730
1539207860,14735,14735
1539229959,14754,14754
1539252263,14796,14796
1539274376,14637,14637
1539296416,14432,14432
1539318519,14576,14576
1539340374,14379,14379
1539362674,14363,14363
1539384794,14151,14151
1539407076,14203,14203
1539429143,14131,14131
1539450990,13908,13908
1539473067,14043,14043
1539495151,13920,13920
1539517216,13884,13884
1539539085,13967,13967
1539561188,14515,14515
1539594534,14064,14064
1539616835,14687,14687
1539638892,14422,14422
1539660993,14720,14720
1539683084,14643,14643
1539705397,14701,14701
1539727472,14725,14725
1539749802,14796,14796
1539771853,14736,14736
1539793961,14603,14603
1539815807,14551,14551
1539837862,14480,14480
1539859936,14262,14262
1539882186,14220,14220
1539904353,13865,13865
1539926422,13873,13873
1539948284,13940,13940
1539970339,13866,13866
1539992185,13907,13907
1540014277,13909,13909
1540036347,13880,13880
1540069484,13576,13576
1540091562,13579,13579
1540113407,13555,13555
1540135490,13530,13530
1540157575,13314,13314
1540179635,13344,13344
1540201704,12937,12937
1540223558,14317,14317
1540245696,14761,14761
1540267964,14718,14718
1540289913,14682,14682
1540311883,15699,15699
1540334231,15683,15683
1540356527,15599,15599
1540378616,15600,15600
1540400733,16111,16111
1540422587,16121,16121
1540444847,16212,16212
1540466903,16211,16211
1540488754,16269,16269
1540510611,16389,16389
1540532899,16353,16353
1540554997,16028,16028
1540577093,16196,16196
1540599158,16196,16196
1540621229,16138,16138
1540643117,16102,16102
1540665171,16002,16002
1540687215,15997,15997
1540709083,16130,16130
1540731154,15172,15172
1540753270,16133,16133
1540775325,16070,16070
1540797633,16116,16116
1540819698,16101,16101
1540841559,16162,16162
1540863607,15904,15904
1540885478,15942,15942
1540907558,16361,16361
1540929638,16465,16465
1540951854,16498,16498
1540974043,17936,17936
1540996349,17311,17311
1541018407,21392,21392
1541040253,24449,24449
1541062105,24757,24757
1541083959,24725,24725
1541106044,24735,24735
1541128126,24743,24743
1541150176,24736,24736
1541172257,24710,24710
1541194345,24602,24602
1541216202,24569,24569
1541238259,24551,24551
1541260104,23194,23194
1541282444,24521,24521
1541304503,24522,24522
1541326348,24398,24398
1541348430,24379,24379
1541370279,24374,24374
1541392375,24190,24190
1541414681,24598,24598
1541436763,24927,24927
1541459093,24907,24907
1541481146,25034,25034
1541502994,25021,25021
1541525295,24863,24863
1541547147,24751,24751
1541569236,23558,23558
1541591297,23492,23492
1541613396,18511,18511
1541635733,18244,18244
1541657787,18412,18412
1541679883,22445,22445
1541702019,22500,22500
1541724008,22503,22503
1541745850,22453,22453
1541767961,22330,22330
1541790119,22358,22358
1541812372,22368,22368
1541834440,22313,22313
1541856510,22268,22268
1541878578,22283,22283
1541900437,22318,22318
1541922521,22408,22408
1541944974,21273,21273
1541966913,20352,20352
1541988990,20375,20375
1542011066,20599,20599
1542032912,20053,20053
1542055023,20048,20048
1542077070,19576,19576
1542099396,19385,19385
1542121727,19379,19379
1542143795,19357,19357
1542165877,19363,19363
1542187973,19659,19659
1542210008,16489,16489
1542231896,17360,17360
1542254202,17358,17358
1542276272,13589,13589
1542298161,12865,12865
1542320451,12935,12935
1542342503,12912,12912
1542364588,13025,13025
1542386590,13489,13489
1542408498,13472,13472
1542430600,13516,13516
1542452663,13401,13401
1542474526,14457,14457
1542496604,13436,13436
1542518669,13380,13380
1542540756,13217,13217
1542562815,13293,13293
1542584681,13301,13301
1542606761,12938,12938
1542628849,12921,12921
1542650907,12915,12915
1542673238,13880,13880
1542695298,13900,13900
1542717158,13886,13886
1542739520,13881,13881
1542761535,14243,14243
1542783635,14164,14164
1542805488,13898,13898
1542827537,14131,14131
1542849404,14161,14161
1542871252,14125,14125
1542893543,14535,14535
1542915637,14000,14000
1542937482,14011,14011
1542959540,13877,13877
1542992917,13563,13563
1543015000,13585,13585
1543037072,13504,13504
1543059403,13519,13519
1543081714,12506,12506
1543104068,31223,31223
1543126356,31308,31308
1543148431,31457,31457
1543170486,32479,32479
1543192341,32886,32886
1543214445,35628,35628
1543236506,35650,35650
1543258596,35669,35669
1543280684,35653,35653
1543303005,35661,35661
1543325059,35719,35719
1543347402,35731,35731
1543369465,35534,35534
1543391320,35548,35548
1543413755,36122,36122
1543436117,36131,36131
1543458022,36117,36117
1543479882,36099,36099
1543501939,35861,35861
1543524038,35643,35643
1543546093,35658,35658
1543567953,35629,35629
1543590286,35452,35452
1543612364,35440,35440
1543634671,35434,35434
1543656764,35678,35678
1543679059,35701,35701
1543701151,25941,25941
1543723248,18404,18404
1543745323,18393,18393
1543767397,18104,18104
1543789461,16254,16254
1543811302,16224,16224
1543833401,16227,16227
1543855451,15948,15948
1543877317,16003,16003
1543899698,15966,15966
1543921965,15947,15947
1543944262,16835,16835
1543966371,16943,16943
1543988444,20079,20079
1544010763,15743,15743
1544033074,15700,15700
1544054920,15677,15677
1544077242,15787,15787
1544099320,15811,15811
1544121400,15754,15754
1544143470,15915,15915
1544165797,16072,16072
1544198686,19257,19257
1544220731,19302,19302
1544242610,19355,19355
1544264667,19124,19124
1544286742,19175,19175
1544308589,19174,19174
1544330670,19229,19229
1544352528,19187,19187
1544374596,19245,19245
1544396462,19279,19279
1544419007,19282,19282
1544441081,19182,19182
1544463142,19204,19204
1544485010,19264,19264
1544507058,19276,19276
1544529165,19275,19275
1544562257,19328,19328
1544584120,18562,18562
1544606183,15876,15876
1544628282,16422,16422
1544650348,15485,15485
1544672445,15507,15507
1544694758,15506,15506
1544716827,15189,15189
1544738929,15177,15177
1544761005,15435,15435
1544783081,12600,12600
1544805133,12245,12245
1544827004,12243,12243
1544849052,12202,12202
1544870903,12191,12191
1544892760,12184,12184
1544914888,12191,12191
1544937161,12158,12158
1544959460,11177,11177
1544981530,12140,12140
1545003381,12291,12291
1545025479,12301,12301
1545047554,12291,12291
1545069881,15527,15527
1545092192,15777,15777
1545114043,18030,18030
1545136117,17988,17988
1545158416,17982,17982
1545180278,18013,18013
1545202360,19417,19417
1545224453,19172,19172
1545246510,19064,19064
1545268363,21040,21040
1545290676,20958,20958
1545312764,21094,21094
1545334819,21099,21099
1545356917,20800,20800
1545379259,20755,20755
1545401295,20744,20744
1545423393,21575,21575
1545445483,21598,21598
1545467803,21495,21495
1545489879,21499,21499
1545511959,21519,21519
1545534037,21455,21455
1545556115,21450,21450
1545578173,21527,21527
1545600020,20699,20699
1545622107,20697,20697
1545643955,20694,20694
1545666276,19566,19566
1545688361,19615,19615
1545710710,19556,19556
1545732758,19854,19854
1545754838,19847,19847
1545777141,20650,20650
1545798993,19199,19199
1545821076,19140,19140
1545843161,19059,19059
1545865231,17032,17032
1545887315,19780,19780
1545909374,23000,23000
1545931224,22857,22857
1545953087,22851,22851
1545975145,22839,22839
1545997224,22824,22824
1546019293,22821,22821
1546041139,22680,22680
1546063224,22516,22516
1546085319,23139,23139
1546107394,22461,22461
1546129254,22456,22456
1546151560,22440,22440
1546173647,22340,22340
1546195692,22312,22312
1546217566,20088,20088
1546239655,17647,17647
1546261937,17607,17607
1546284041,17657,17657
1546306092,17264,17264
1546327937,17117,17117
1546350034,16778,16778
1546372098,16820,16820
1546394184,19466,19466
1546416265,20139,20139
1546438366,20264,20264
1546460447,20372,20372
1546482517,20390,20390
1546504578,12147,12147
1546526421,12132,12132
1546548762,13837,13837
1546570831,15591,15591
1546592905,15610,15610
1546614782,15656,15656
1546637091,15695,15695
1546659148,15693,15693
1546681000,15711,15711
1546703075,15093,15093
1546725155,15596,15596
1546747254,15629,15629
1546769325,15635,15635
