DateTime,Entries,UniqueIPs
1527985961,96,98
1527985961,96,98
1527985961,96,98
1527985961,96,98
1527990752,96,98
1527990752,96,98
1527990752,96,98
1527990752,96,98
1527995552,96,98
1527995552,96,98
1527995552,96,98
1527995552,96,98
1528000355,96,98
1528000355,96,98
1528000355,96,98
1528004195,96,98
1528160168,50,50
1528218015,99,100
1528306574,49,50
1528306574,49,50
1528318793,49,50
1528322769,49,50
1528322769,49,50
1528330081,49,50
1528393210,95,98
1528478170,95,98
1528563369,88,94
1528652411,48,50
1528738196,94,98
1528823053,95,99
1528911610,50,50
1530258008,48,50
1530316334,87,95
1530402259,91,94
1530487934,92,96
1530573847,93,98
1530659540,93,95
1530748092,45,50
1530833785,92,98
1530920178,97,100
1531005383,95,97
1531091293,93,97
1531177450,96,99
1531266490,47,50
1531351452,91,95
1531440020,49,50
1531525214,95,98
1531611139,94,97
1531698010,47,50
1531783451,93,98
1531869369,97,100
1531957933,48,50
1532043382,89,95
1532128575,95,98
1532217851,47,50
1532302576,89,94
1532387772,95,99
1532477053,49,50
1532563227,93,96
1532646743,93,96
1532735777,50,50
1532820494,90,100
1532905690,80,93
1532994732,50,50
1533079939,94,97
1533164892,87,92
1533253694,48,50
1533338892,91,96
1533424336,93,97
1533513370,47,50
1533598333,95,99
1533684734,49,50
1533773051,49,50
1533858010,96,97
1533942732,93,97
1534031054,48,50
1534115767,95,99
1534204815,46,50
1534289536,92,100
1534374734,93,97
1534463776,50,50
1534548490,98,99
1534636814,50,50
1534722009,99,99
1534806731,100,100
1534895536,50,50
1534980252,100,100
1535065936,98,98
1535155458,50,50
1535240652,98,100
1535327533,50,50
1535412247,96,98
1535501291,47,50
1535587227,82,91
1535672653,82,91
1535758090,88,95
1535846658,48,50
1535931852,90,96
1536016578,93,96
1536105853,49,50
1536191053,95,98
1536275771,90,97
1536364566,50,50
1536450012,85,94
1536535215,76,91
1536624027,50,50
1536709693,97,98
1536794176,96,98
1536883451,49,50
1536969127,91,95
1537054577,89,96
1537140012,89,95
1537229533,50,50
1537315453,88,96
1537400409,95,100
1537488977,50,50
1537574171,96,98
1537659134,96,99
1537747695,50,50
1537832656,95,98
1537921214,49,50
1538006175,93,97
1538090894,97,99
1538179691,47,50
1538264648,93,97
1538349611,96,99
1538439130,45,50
1538524572,83,93
1538610009,96,99
1538699051,50,50
1538784256,97,99
1538868976,100,100
1538957531,50,50
1539042489,96,98
1539128409,95,97
1539216726,50,50
1539301692,97,99
1539386897,97,98
1539475455,50,50
1539560655,98,99
1539649938,48,50
1539734896,94,99
1539820092,90,96
1539906016,94,98
1539995537,50,50
1540080490,95,98
1540165207,82,96
1540253768,48,50
1540338982,92,96
1540425368,90,96
1540510575,96,100
1540600328,50,50
1540685776,99,100
1540770970,99,100
1540856897,94,97
1540943050,98,99
1541028977,97,98
1541118734,49,50
1541205134,98,100
1541290331,97,99
1541376020,97,100
1541461207,99,99
1541551346,50,50
1541636650,99,99
1541721854,99,99
1541807049,99,100
1541896810,50,50
1541982793,99,100
1542067692,98,98
1542152890,100,100
1542239306,50,50
1542325928,50,50
1542414737,50,50
1542499684,100,100
1542584651,100,100
1542674184,50,50
1542759130,100,100
1542846025,50,50
1542931933,100,100
1543017131,100,100
1543106407,50,50
1543190893,99,99
1543276815,99,99
1543365856,50,50
1543452731,50,50
1543537931,98,98
1543623608,99,99
1543708332,100,100
1543797133,50,50
1543882813,100,100
1543968976,98,98
1544056087,49,50
1544142254,97,98
1544227217,96,99
1544313132,97,99
1544402890,47,50
1544488819,96,99
1544573052,99,99
1544659451,100,100
1544746576,50,50
1544832729,100,100
1544919128,100,100
1545007933,50,50
1545093850,100,100
1545179289,99,99
1545264731,99,100
1545350433,96,99
1545439934,50,50
1545525130,97,98
1545611052,89,97
1545696967,93,96
1545783375,48,50
1545872167,49,50
1545957857,98,99
1546043284,94,98
1546128745,92,96
1546218042,48,50
1546303209,92,97
1546322417,49,50
1546388405,98,100
1546473638,99,100
1546562648,49,50
1546648809,92,93
1546734491,94,94
